VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)
GraphNo	1	2	3	4	5	6	7
526765.1	0.158400	0.133700	0.110600	0.165300	0.135500	0.162700	0.110200
531929.5	0.158200	0.131800	0.108100	0.166500	0.132600	0.162800	0.106000
537093.9	0.156900	0.132500	0.108400	0.165600	0.132300	0.162300	0.106200
542258.2	0.156000	0.132500	0.109700	0.167500	0.133600	0.162600	0.108400
547422.6	0.155100	0.132900	0.108900	0.164200	0.132100	0.162700	0.105900
552586.9	0.155600	0.132600	0.109000	0.165800	0.131600	0.162300	0.106900
557751.3	0.153600	0.134500	0.113600	0.158100	0.135600	0.162900	0.110300
562915.7	0.155100	0.133300	0.109400	0.161500	0.133800	0.162800	0.106300
568080.0	0.153100	0.131000	0.109600	0.161800	0.131500	0.160700	0.106300
573244.4	0.151400	0.133800	0.113500	0.155900	0.135900	0.163100	0.110100
578408.8	0.151700	0.132100	0.110200	0.158600	0.133200	0.161500	0.108000
583573.1	0.152200	0.131400	0.109000	0.161700	0.132200	0.161700	0.106100
588737.5	0.151100	0.132700	0.110900	0.158300	0.131900	0.160600	0.105900
593901.8	0.152300	0.130200	0.107700	0.165500	0.130700	0.161000	0.104400
599066.2	0.149400	0.131600	0.110300	0.157300	0.132400	0.160900	0.105900
604230.6	0.149200	0.132700	0.110300	0.157600	0.132200	0.161200	0.105400
609394.9	0.149400	0.132600	0.111000	0.155200	0.132200	0.160600	0.105900
614559.3	0.150000	0.130600	0.107400	0.160500	0.130400	0.160000	0.103200
619723.7	0.149200	0.132000	0.108500	0.160200	0.130000	0.160400	0.104000
624888.1	0.147700	0.132500	0.111400	0.154100	0.132400	0.160900	0.106300
630052.4	0.148700	0.130800	0.108100	0.159600	0.130000	0.159900	0.104000
635216.8	0.148400	0.132000	0.109100	0.157600	0.131000	0.160800	0.104200
640381.1	0.148200	0.130200	0.107900	0.158100	0.129400	0.159800	0.103300
645545.5	0.147900	0.131300	0.109000	0.157900	0.130600	0.159600	0.104000
650709.8	0.146900	0.130800	0.109500	0.155800	0.131000	0.158900	0.105700
655874.2	0.146300	0.131000	0.108400	0.157500	0.130200	0.160200	0.103700
661038.6	0.147400	0.129900	0.108700	0.160200	0.129300	0.159500	0.102600
666202.9	0.145900	0.130100	0.107400	0.156500	0.129400	0.159300	0.103500
671367.3	0.147500	0.130500	0.108200	0.159600	0.130100	0.160600	0.103200
676531.7	0.146700	0.129200	0.106200	0.160200	0.128800	0.159100	0.102200
681696.0	0.145000	0.131400	0.110600	0.152500	0.131000	0.159500	0.104400
686860.4	0.144500	0.130200	0.109500	0.154800	0.129700	0.158700	0.103300
692024.7	0.145700	0.129700	0.106400	0.159200	0.128500	0.158700	0.101900
697189.1	0.145400	0.128700	0.106800	0.156700	0.129100	0.158500	0.103000
702353.5	0.145600	0.129400	0.107700	0.157100	0.129800	0.159100	0.103000
707517.8	0.143100	0.130500	0.111000	0.152100	0.130900	0.158200	0.104400
712682.2	0.145800	0.129300	0.108800	0.156800	0.129600	0.159000	0.102800
717846.6	0.143800	0.130100	0.109200	0.152200	0.130400	0.158700	0.104100
723010.9	0.142100	0.128900	0.109700	0.153700	0.130200	0.158000	0.104100
728175.3	0.143500	0.128900	0.108200	0.153600	0.128600	0.157800	0.102600
733339.7	0.142500	0.129800	0.106900	0.153100	0.128300	0.157700	0.101400
738504.0	0.142800	0.129700	0.108100	0.155900	0.128600	0.157900	0.101200
743668.4	0.144300	0.128100	0.106100	0.159800	0.127100	0.157300	0.100100
748832.7	0.142700	0.128100	0.106400	0.156000	0.126300	0.156300	0.100000
753997.1	0.143900	0.128000	0.107300	0.158000	0.128100	0.158000	0.101900
759161.5	0.143500	0.130200	0.109900	0.151900	0.130400	0.159800	0.104000
764325.8	0.142400	0.127500	0.105300	0.155900	0.127000	0.156400	0.099800
769490.2	0.140800	0.129900	0.109200	0.151000	0.128900	0.157400	0.103600
774654.6	0.142500	0.127800	0.105800	0.156600	0.126600	0.156900	0.099600
779818.9	0.142000	0.128200	0.107300	0.152900	0.128400	0.156300	0.102600
784983.3	0.142500	0.127400	0.105400	0.155300	0.126800	0.157400	0.100300
790147.6	0.142700	0.127000	0.105200	0.157700	0.127100	0.156800	0.099100
795312.0	0.141700	0.126600	0.105500	0.154700	0.126900	0.156000	0.100500
800476.4	0.140800	0.127600	0.106900	0.150300	0.127900	0.156300	0.101600
805640.7	0.141600	0.127200	0.106400	0.151100	0.127000	0.155700	0.100100
810805.1	0.140300	0.128100	0.107500	0.148100	0.129400	0.156600	0.102800
815969.5	0.141100	0.127800	0.106400	0.154100	0.127000	0.156000	0.099500
821133.8	0.141100	0.125100	0.104000	0.155400	0.126100	0.155400	0.100100
826298.2	0.140100	0.126300	0.105900	0.149100	0.128900	0.156400	0.101200
831462.6	0.140700	0.126100	0.105500	0.151600	0.127300	0.156100	0.100000
836626.9	0.139200	0.126700	0.106700	0.149300	0.128200	0.155500	0.101300
841791.3	0.139600	0.126100	0.106100	0.150400	0.127600	0.155700	0.100700
846955.6	0.138200	0.125900	0.106800	0.148700	0.127400	0.155200	0.101300
852120.0	0.139900	0.126800	0.107900	0.148400	0.128900	0.156300	0.102000
857284.4	0.139700	0.126800	0.108600	0.148000	0.128800	0.156400	0.103400
862448.7	0.139700	0.124800	0.105600	0.150200	0.127400	0.154800	0.100900
867613.1	0.140500	0.125000	0.103100	0.153700	0.125400	0.155200	0.098100
872777.5	0.138400	0.126400	0.107300	0.146800	0.129500	0.155200	0.103500
877941.8	0.139500	0.125800	0.103900	0.150200	0.126600	0.154700	0.098800
883106.2	0.139200	0.125500	0.104700	0.150500	0.126300	0.154800	0.098400
888270.5	0.138500	0.124300	0.105700	0.149300	0.126900	0.154000	0.099500
893434.9	0.138900	0.125200	0.105000	0.148600	0.126900	0.154600	0.099600
898599.3	0.140300	0.126000	0.103900	0.151600	0.126000	0.154100	0.099200
903763.6	0.139200	0.126100	0.106600	0.148200	0.128400	0.154900	0.101100
908928.0	0.140100	0.126300	0.103200	0.152700	0.126500	0.155100	0.098500
914092.4	0.140200	0.127500	0.108400	0.147700	0.129200	0.154500	0.103200
919256.7	0.138400	0.127400	0.110500	0.144800	0.130400	0.155600	0.104800
924421.1	0.140100	0.126400	0.106200	0.149800	0.128100	0.155700	0.100100
929585.4	0.139200	0.125300	0.104800	0.150600	0.125800	0.152800	0.100100
934749.8	0.140000	0.127000	0.105000	0.150900	0.126700	0.153900	0.099400
939914.2	0.140600	0.125800	0.106100	0.151300	0.127000	0.153800	0.100000
945078.5	0.138100	0.125700	0.104600	0.150300	0.126000	0.152700	0.100000
950242.9	0.139500	0.126400	0.105900	0.150600	0.127300	0.153900	0.100900
955407.3	0.139000	0.125300	0.104500	0.151800	0.126600	0.153500	0.099800
960571.6	0.139800	0.125600	0.104500	0.152200	0.125800	0.153300	0.099200
965736.0	0.138700	0.126000	0.106200	0.150400	0.126800	0.152700	0.100000
970900.4	0.139400	0.125700	0.104200	0.150700	0.126400	0.152500	0.099100
976064.7	0.140900	0.125800	0.104100	0.152700	0.125900	0.153200	0.098700
981229.1	0.139800	0.124300	0.101700	0.155100	0.124900	0.151700	0.096600
986393.4	0.139900	0.124000	0.101700	0.154700	0.124400	0.151900	0.096800
991557.8	0.137900	0.125000	0.104400	0.149500	0.125500	0.151400	0.099400
996722.2	0.140200	0.124700	0.102800	0.152300	0.124600	0.152500	0.097400
1001886.5	0.137700	0.124300	0.103600	0.148100	0.125500	0.151200	0.099100
1007050.9	0.139700	0.125400	0.104400	0.150100	0.126400	0.152000	0.099100
1012215.3	0.139600	0.126000	0.106200	0.147900	0.127300	0.153200	0.100400
1017379.6	0.138500	0.125800	0.106300	0.148200	0.126700	0.152300	0.100500
1022544.0	0.137500	0.125300	0.105500	0.146300	0.125600	0.151500	0.098500
1027708.3	0.138300	0.125300	0.104400	0.147300	0.126300	0.151700	0.099500
1032872.7	0.138100	0.126400	0.106100	0.145500	0.127400	0.152000	0.099800
1038037.1	0.136300	0.126300	0.107500	0.143100	0.128100	0.151500	0.100900
1043201.4	0.137900	0.124600	0.105900	0.146100	0.127100	0.151500	0.100600
1048365.8	0.137100	0.125700	0.106400	0.144700	0.127300	0.151700	0.099800
1053530.2	0.139100	0.124900	0.103300	0.150700	0.126500	0.151900	0.098000
1058694.5	0.137100	0.124000	0.102800	0.147100	0.125400	0.150000	0.097600
1063858.9	0.138300	0.124700	0.103600	0.149400	0.125700	0.151600	0.097700
1069023.3	0.136900	0.125200	0.104400	0.147100	0.126600	0.150700	0.098900
1074187.6	0.137500	0.124400	0.105500	0.145600	0.127500	0.150500	0.100000
1079352.0	0.137800	0.124300	0.104500	0.147000	0.125900	0.150200	0.098400
1084516.3	0.137700	0.124700	0.103600	0.146300	0.127000	0.150300	0.097700
1089680.7	0.138400	0.123800	0.103000	0.148100	0.126100	0.149700	0.098500
1094845.1	0.138900	0.123200	0.103000	0.150500	0.125100	0.149700	0.096600
1100009.4	0.137000	0.124700	0.104000	0.145500	0.126800	0.151300	0.098000
1105173.8	0.137700	0.124900	0.104000	0.144900	0.126600	0.150500	0.098200
1110338.2	0.137600	0.125200	0.104800	0.145000	0.125900	0.149500	0.097500
1115502.5	0.137000	0.123100	0.101400	0.148400	0.123800	0.146900	0.096300
1120666.9	0.138300	0.123400	0.100600	0.149100	0.123600	0.147600	0.093200
1125831.2	0.138100	0.123600	0.102700	0.147500	0.124200	0.147300	0.096200
1130995.6	0.136600	0.122800	0.103300	0.145700	0.124100	0.147700	0.096600
1136160.0	0.136800	0.123100	0.101600	0.145800	0.123500	0.146900	0.094300
1141324.3	0.136000	0.122600	0.102900	0.144300	0.122900	0.146000	0.094400
1146488.7	0.136400	0.122500	0.102000	0.145500	0.123600	0.146700	0.094300
1151653.1	0.146600	0.133700	0.111600	0.156600	0.136900	0.159400	0.109100
1156817.4	0.144800	0.132700	0.112500	0.155100	0.135800	0.158100	0.108500
1161981.8	0.147000	0.130800	0.109800	0.157800	0.135400	0.157500	0.107700
1167146.2	0.149200	0.132600	0.110200	0.160600	0.137400	0.159900	0.107800
1172310.5	0.147100	0.132400	0.109300	0.156300	0.136600	0.157900	0.107300
