VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13
252847.3	0.201200	0.196200	0.197900	0.253600	0.242100	0.219300	0.164100	0.106000	0.127900	0.121100	0.148000	0.157000	0.218500
257805.0	0.199100	0.195200	0.196700	0.255200	0.246700	0.223200	0.162200	0.104600	0.128600	0.116800	0.143800	0.156300	0.216100
262762.8	0.196800	0.192300	0.194700	0.250800	0.242300	0.218100	0.162200	0.105700	0.128400	0.117400	0.144800	0.154100	0.215100
267720.6	0.196400	0.194400	0.195400	0.254000	0.249400	0.223300	0.158700	0.098700	0.122400	0.109300	0.134300	0.154900	0.213300
272678.4	0.192000	0.189700	0.191200	0.249500	0.241800	0.216800	0.159700	0.106900	0.125600	0.114900	0.139800	0.152200	0.211200
277636.2	0.191000	0.189800	0.191400	0.249700	0.240300	0.214200	0.159700	0.104800	0.125100	0.112500	0.137400	0.151000	0.210300
282594.0	0.188500	0.186600	0.189100	0.247100	0.237200	0.211000	0.159300	0.110200	0.125700	0.115300	0.139700	0.149800	0.208600
287551.8	0.187700	0.187300	0.188300	0.249200	0.238300	0.212400	0.157800	0.107100	0.123600	0.111700	0.135800	0.149800	0.208900
292509.6	0.186900	0.186300	0.187000	0.247400	0.237700	0.213000	0.155200	0.100500	0.118700	0.106100	0.128500	0.149900	0.207100
297467.4	0.184900	0.184800	0.186500	0.247600	0.235600	0.210700	0.155400	0.103700	0.120500	0.108300	0.130300	0.149000	0.205700
302425.1	0.182500	0.182800	0.184000	0.245600	0.231700	0.206100	0.154400	0.100600	0.118600	0.105600	0.127800	0.147900	0.205000
307382.9	0.182600	0.183600	0.184000	0.248600	0.234400	0.209600	0.153000	0.097600	0.116600	0.101600	0.124100	0.148700	0.203800
312340.7	0.183400	0.183400	0.185700	0.249500	0.233100	0.207700	0.156400	0.106900	0.121300	0.108500	0.131100	0.149000	0.203700
317298.5	0.179900	0.180500	0.182300	0.246900	0.230000	0.206100	0.152200	0.099900	0.117100	0.102800	0.124000	0.147300	0.203500
322256.3	0.178100	0.179100	0.180700	0.245200	0.228800	0.206300	0.150600	0.096900	0.114900	0.099300	0.120500	0.147100	0.201300
327214.1	0.177100	0.178400	0.180100	0.244400	0.222300	0.202700	0.150300	0.099200	0.115900	0.101100	0.121700	0.147000	0.200800
332171.9	0.175500	0.177700	0.179200	0.242100	0.223300	0.202900	0.148800	0.095500	0.113700	0.097700	0.118500	0.147100	0.200200
337129.7	0.174700	0.176700	0.178100	0.241500	0.223000	0.203400	0.147900	0.095800	0.111900	0.097200	0.116200	0.146600	0.197300
342087.5	0.175000	0.176700	0.178600	0.241700	0.221200	0.202500	0.147800	0.095200	0.112000	0.096200	0.115000	0.146500	0.195900
347045.2	0.171600	0.173500	0.176100	0.237800	0.215100	0.196900	0.146500	0.094300	0.111400	0.095500	0.114600	0.144700	0.194800
352003.0	0.171800	0.173900	0.176500	0.238200	0.217100	0.199100	0.146000	0.094400	0.111500	0.095100	0.113600	0.145000	0.194200
356960.8	0.170200	0.171700	0.174400	0.237300	0.213100	0.196400	0.145600	0.095700	0.111600	0.095900	0.113500	0.144400	0.193600
361918.6	0.169500	0.171900	0.174300	0.236700	0.213900	0.197700	0.143400	0.090800	0.108100	0.092800	0.111200	0.144400	0.193000
366876.4	0.168200	0.171400	0.172800	0.237000	0.212500	0.197800	0.142100	0.091600	0.108600	0.093000	0.109600	0.143700	0.192400
371834.2	0.168800	0.171500	0.174000	0.235900	0.213000	0.198300	0.142400	0.091500	0.109500	0.092200	0.108400	0.144300	0.192500
376792.0	0.167800	0.170200	0.173300	0.234900	0.209100	0.194600	0.143100	0.096100	0.110300	0.094600	0.111700	0.143400	0.192200
381749.8	0.166000	0.167900	0.171000	0.232500	0.205700	0.192100	0.140600	0.092500	0.108200	0.093000	0.108900	0.141700	0.191600
386707.6	0.165800	0.168600	0.171300	0.232700	0.207800	0.193700	0.140000	0.089200	0.106000	0.089800	0.106300	0.142500	0.191500
391665.3	0.165300	0.167200	0.170700	0.232200	0.206700	0.193900	0.140000	0.092300	0.107900	0.091500	0.107700	0.142700	0.190600
396623.1	0.164200	0.166500	0.170100	0.230700	0.204400	0.192500	0.139700	0.089800	0.106300	0.090100	0.106600	0.141600	0.190900
401580.9	0.164700	0.167300	0.171700	0.233200	0.208200	0.196400	0.138300	0.092100	0.107200	0.089900	0.105400	0.142600	0.189600
406538.7	0.163800	0.166000	0.169600	0.231400	0.207100	0.195600	0.136300	0.087900	0.103000	0.087000	0.103500	0.141700	0.188600
411496.5	0.162500	0.165200	0.168900	0.230300	0.203600	0.191500	0.136400	0.088200	0.103600	0.088600	0.103800	0.140400	0.189900
416454.3	0.161700	0.164200	0.167900	0.228000	0.200300	0.189600	0.138100	0.095300	0.106300	0.091600	0.106600	0.139900	0.188500
421412.1	0.163300	0.165100	0.169100	0.230500	0.204500	0.192800	0.137800	0.092300	0.106400	0.091100	0.106600	0.141300	0.189200
426369.9	0.160600	0.163000	0.166800	0.226100	0.196900	0.185900	0.138100	0.095000	0.107500	0.092600	0.107700	0.139100	0.188000
431327.6	0.160300	0.163000	0.167100	0.228400	0.201900	0.191600	0.135600	0.090400	0.103600	0.088600	0.103500	0.139800	0.187700
436285.4	0.160200	0.163200	0.167900	0.227900	0.203000	0.193300	0.133700	0.087900	0.102800	0.085900	0.100800	0.140400	0.186200
441243.2	0.159600	0.161500	0.165600	0.226100	0.198500	0.187400	0.135100	0.089000	0.104000	0.087900	0.103400	0.139100	0.186200
446201.0	0.159800	0.162100	0.167100	0.227900	0.200700	0.190700	0.133700	0.088000	0.104100	0.085800	0.101300	0.139700	0.186200
451158.8	0.159700	0.162100	0.166100	0.227100	0.201200	0.190100	0.134200	0.087700	0.101900	0.085700	0.100900	0.139700	0.186100
456116.6	0.159800	0.161800	0.166500	0.227600	0.201200	0.191300	0.133800	0.091000	0.104200	0.087300	0.102200	0.139600	0.185700
461074.4	0.157900	0.159700	0.164700	0.224500	0.195500	0.185800	0.133500	0.089700	0.103000	0.087500	0.101800	0.137900	0.184600
466032.2	0.159700	0.161700	0.166100	0.228100	0.201400	0.191300	0.132000	0.084700	0.099200	0.083800	0.097600	0.140000	0.184600
470990.0	0.158600	0.161600	0.166600	0.226900	0.202600	0.191700	0.131100	0.085800	0.100400	0.083800	0.096900	0.139600	0.182700
475947.7	0.158200	0.160400	0.165000	0.226100	0.200100	0.190200	0.131100	0.084600	0.101300	0.082500	0.096500	0.139200	0.182900
480905.5	0.157700	0.159500	0.164600	0.224600	0.196200	0.186500	0.132400	0.089400	0.102100	0.086500	0.100400	0.138300	0.183300
485863.3	0.157200	0.160200	0.164600	0.225200	0.199000	0.189300	0.130600	0.085500	0.099800	0.083000	0.096600	0.138500	0.182400
490821.1	0.157000	0.159400	0.164600	0.225800	0.198700	0.188000	0.130200	0.085500	0.099500	0.083900	0.096800	0.138500	0.181600
495778.9	0.156500	0.158800	0.163300	0.223600	0.198100	0.186900	0.130600	0.085500	0.099000	0.083300	0.096900	0.137100	0.181300
500736.7	0.156100	0.158000	0.163000	0.222500	0.193700	0.183000	0.131400	0.089200	0.101600	0.086500	0.100200	0.136200	0.180200
505694.5	0.156100	0.157500	0.163400	0.223400	0.196400	0.184900	0.130200	0.088400	0.100200	0.084500	0.098100	0.137200	0.179700
510652.3	0.155500	0.157800	0.163100	0.223700	0.198600	0.188000	0.128400	0.083400	0.099200	0.082300	0.094900	0.137800	0.179600
515610.1	0.155500	0.157700	0.162200	0.222900	0.198200	0.187400	0.128100	0.082500	0.097300	0.080800	0.094200	0.137200	0.178300
520567.8	0.154300	0.156100	0.161500	0.220300	0.192400	0.181400	0.130200	0.089400	0.100400	0.085700	0.099200	0.135800	0.178300
525525.6	0.154600	0.157500	0.161900	0.222900	0.196700	0.187600	0.127300	0.082200	0.097100	0.079900	0.094100	0.136800	0.178000
530483.4	0.153400	0.154500	0.161100	0.218700	0.190300	0.179000	0.130000	0.088400	0.100900	0.085000	0.098000	0.134400	0.176900
535441.2	0.154200	0.156200	0.161700	0.221700	0.195400	0.184100	0.127700	0.083400	0.097900	0.082200	0.094600	0.136600	0.177100
540399.0	0.153100	0.155000	0.160700	0.219200	0.193800	0.183900	0.125400	0.080600	0.095700	0.079300	0.092100	0.135300	0.175600
545356.8	0.153200	0.155400	0.160900	0.219000	0.194300	0.182900	0.126700	0.083000	0.095800	0.081100	0.094000	0.135300	0.175500
550314.6	0.152500	0.154400	0.160300	0.217600	0.191700	0.181400	0.125700	0.082400	0.095700	0.081200	0.093200	0.134800	0.174300
555272.4	0.152400	0.153100	0.159300	0.216400	0.189900	0.178800	0.125600	0.080400	0.094900	0.079900	0.091900	0.134500	0.175200
560230.2	0.152200	0.154500	0.160200	0.218400	0.192800	0.182400	0.125500	0.081100	0.095000	0.079900	0.092400	0.135200	0.174300
565187.9	0.150400	0.152600	0.158700	0.215600	0.190500	0.180100	0.123700	0.080100	0.093000	0.079200	0.090600	0.133400	0.172200
570145.7	0.146300	0.149400	0.155400	0.209000	0.183300	0.171600	0.119600	0.076400	0.089800	0.076000	0.087800	0.130100	0.169300
575103.5	0.138100	0.140600	0.147200	0.194300	0.169200	0.155400	0.109600	0.071800	0.080500	0.071500	0.082500	0.120100	0.160400
580061.3	0.137200	0.139900	0.146600	0.193000	0.167500	0.153400	0.108500	0.069600	0.078500	0.070000	0.081300	0.118800	0.159900
585019.1	0.134800	0.137000	0.143500	0.187300	0.160900	0.146000	0.107200	0.070900	0.078700	0.071000	0.081900	0.116100	0.157600
589976.9	0.132300	0.133900	0.142100	0.185300	0.160000	0.144500	0.103500	0.066900	0.073600	0.067100	0.077400	0.114200	0.155100
594934.7	0.129700	0.130300	0.139900	0.180900	0.153500	0.138600	0.102400	0.067100	0.072700	0.066400	0.077200	0.111800	0.154300
599892.5	0.128000	0.129400	0.138600	0.177400	0.150700	0.136200	0.102200	0.067400	0.072500	0.067400	0.078100	0.110800	0.153100
604850.2	0.130300	0.131700	0.140100	0.181100	0.155700	0.140800	0.102000	0.066300	0.072200	0.065500	0.076300	0.112400	0.153400
609808.0	0.132900	0.134400	0.143100	0.184500	0.157400	0.144100	0.104100	0.067000	0.075400	0.068300	0.078800	0.114500	0.155900
614765.8	0.136200	0.138400	0.146500	0.190200	0.164600	0.151400	0.107500	0.067900	0.078100	0.069500	0.079900	0.118300	0.158900
619723.6	0.138800	0.141200	0.149400	0.195900	0.171900	0.158100	0.110600	0.071700	0.082400	0.072000	0.082300	0.121800	0.160700
624681.4	0.143300	0.145100	0.153200	0.203000	0.177200	0.164600	0.113800	0.072700	0.085700	0.074500	0.085200	0.126100	0.163100
629639.2	0.145600	0.147000	0.155200	0.205800	0.180400	0.169200	0.117300	0.075000	0.087700	0.076200	0.086300	0.128600	0.166100
634597.0	0.147800	0.148700	0.156100	0.208400	0.181900	0.171600	0.119200	0.079100	0.090800	0.078900	0.089600	0.129900	0.166800
639554.8	0.146100	0.148400	0.155800	0.208400	0.183700	0.173100	0.117900	0.075300	0.089600	0.076700	0.086900	0.130100	0.166600
644512.6	0.148000	0.149100	0.157800	0.209700	0.184500	0.173500	0.119300	0.078400	0.090700	0.078800	0.089000	0.131100	0.167800
649470.3	0.146200	0.147600	0.155800	0.208100	0.181300	0.171000	0.119900	0.079300	0.092300	0.079300	0.090200	0.129900	0.166700
654428.1	0.145200	0.146200	0.154300	0.205600	0.175100	0.163900	0.122200	0.084600	0.095500	0.084900	0.095100	0.128300	0.167200
659385.9	0.147900	0.149900	0.158400	0.210700	0.186400	0.176500	0.119000	0.074500	0.090800	0.074800	0.086000	0.131800	0.167100
664343.7	0.148700	0.149800	0.158800	0.211500	0.186600	0.176900	0.118700	0.074300	0.089900	0.077000	0.087500	0.132400	0.166500
669301.5	0.147600	0.149000	0.157600	0.210000	0.184100	0.173400	0.118800	0.073200	0.090000	0.076500	0.086600	0.131200	0.167000
674259.3	0.148400	0.150100	0.158400	0.210500	0.185000	0.175800	0.118900	0.073500	0.090200	0.076500	0.086700	0.131300	0.167400
679217.1	0.147900	0.149700	0.158200	0.211100	0.185400	0.175300	0.118100	0.071100	0.089800	0.074800	0.084800	0.131600	0.166800
684174.9	0.147800	0.149500	0.158200	0.212700	0.186900	0.177000	0.118300	0.074000	0.089700	0.076700	0.087100	0.131900	0.166600
689132.6	0.146800	0.147600	0.157400	0.209100	0.183300	0.173500	0.118200	0.072400	0.090700	0.077100	0.086300	0.130600	0.166600
694090.4	0.147600	0.149100	0.158200	0.211000	0.186600	0.177500	0.117600	0.073100	0.089500	0.075000	0.084800	0.131600	0.166200
699048.2	0.149800	0.150700	0.160500	0.213500	0.189700	0.179500	0.118300	0.072400	0.087800	0.074800	0.085500	0.132400	0.167100
