VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)
GraphNo	1	2	3	4	5	6	7	8
426370.0	0.198600	0.531500	0.494900	0.573600	0.229500	0.182600	0.156600	0.078100
431327.7	0.197500	0.546600	0.497900	0.590700	0.239300	0.196000	0.165700	0.078800
436285.5	0.196400	0.549900	0.494100	0.588500	0.237100	0.196400	0.161200	0.079500
441243.3	0.194000	0.549000	0.486500	0.590500	0.240700	0.199800	0.162100	0.080600
446201.1	0.198300	0.530300	0.467000	0.573100	0.230200	0.196900	0.161800	0.078400
451158.9	0.203200	0.501800	0.438700	0.556800	0.226400	0.190500	0.156700	0.083400
456116.7	0.214300	0.503800	0.432400	0.566200	0.232900	0.186500	0.160900	0.071000
461074.5	0.213600	0.464900	0.395200	0.537200	0.217100	0.192200	0.161700	0.080000
466032.3	0.209800	0.434800	0.359100	0.518600	0.213600	0.201100	0.160300	0.090200
470990.1	0.214300	0.427500	0.348000	0.516500	0.214400	0.196000	0.161700	0.075100
475947.8	0.210500	0.398200	0.322000	0.491900	0.199800	0.198100	0.161700	0.080600
480905.6	0.212600	0.385700	0.310700	0.481300	0.207300	0.192300	0.156300	0.076000
485863.4	0.209000	0.363400	0.292000	0.459100	0.200000	0.194400	0.156500	0.078700
490821.2	0.214500	0.358400	0.287900	0.458000	0.201400	0.190200	0.159800	0.075800
495779.0	0.206700	0.333300	0.267400	0.428200	0.186300	0.197000	0.157500	0.079900
500736.8	0.204800	0.320900	0.257200	0.417000	0.185700	0.201600	0.161100	0.081500
505694.6	0.205800	0.310600	0.249100	0.405600	0.183300	0.200500	0.162300	0.079000
510652.4	0.210000	0.308000	0.248500	0.401200	0.195600	0.191000	0.156800	0.074500
515610.2	0.206600	0.296600	0.238900	0.385000	0.189700	0.194500	0.156200	0.080900
520567.9	0.202200	0.278900	0.225700	0.365600	0.181300	0.203300	0.155100	0.089900
525525.7	0.209700	0.280900	0.232300	0.364700	0.182100	0.195500	0.157100	0.081300
530483.5	0.205500	0.270000	0.222000	0.349400	0.172600	0.197700	0.157100	0.079000
535441.3	0.206600	0.260100	0.219600	0.335100	0.165300	0.189600	0.150700	0.076300
540399.1	0.202700	0.255800	0.213000	0.331800	0.171600	0.196700	0.156200	0.077100
545356.9	0.206000	0.255600	0.215000	0.329700	0.182400	0.189700	0.150800	0.075600
550314.7	0.203600	0.247700	0.209300	0.320400	0.177300	0.191600	0.151800	0.082800
555272.5	0.205100	0.245900	0.208800	0.314900	0.176200	0.191400	0.152500	0.081400
560230.3	0.203200	0.242300	0.204900	0.309400	0.170300	0.196500	0.156300	0.081600
565188.1	0.201500	0.237500	0.200800	0.302300	0.170500	0.199200	0.157000	0.083100
570145.8	0.206200	0.236900	0.204600	0.301800	0.177500	0.187800	0.151400	0.076900
575103.6	0.203000	0.232200	0.201500	0.295600	0.176000	0.190000	0.151400	0.082800
580061.5	0.204400	0.232400	0.200700	0.293900	0.176000	0.192300	0.154300	0.079000
585019.2	0.200500	0.227300	0.197200	0.285800	0.167600	0.195800	0.156400	0.077700
589977.0	0.201600	0.225300	0.196900	0.281900	0.165900	0.194600	0.156900	0.080700
594934.8	0.201500	0.233800	0.203200	0.288000	0.171600	0.197300	0.158400	0.080700
599892.6	0.206900	0.235400	0.215300	0.277800	0.155500	0.172100	0.141900	0.070200
604850.4	0.205000	0.252400	0.222100	0.300500	0.183700	0.190300	0.150800	0.080300
609808.1	0.203400	0.251300	0.219700	0.298500	0.183600	0.192700	0.152900	0.080800
614765.9	0.206200	0.255900	0.223300	0.301900	0.188100	0.192200	0.154400	0.074700
619723.7	0.202900	0.251200	0.220500	0.295800	0.178200	0.197900	0.156800	0.079100
624681.5	0.206800	0.255300	0.233900	0.292700	0.171100	0.183400	0.145600	0.075700
629639.3	0.205600	0.281000	0.247900	0.315800	0.198800	0.188100	0.154200	0.074700
634597.1	0.202800	0.295900	0.259400	0.322300	0.201100	0.200400	0.158000	0.081100
639554.9	0.203400	0.310600	0.273200	0.326000	0.192400	0.197400	0.157900	0.077600
644512.7	0.201400	0.331800	0.288000	0.340300	0.199900	0.202600	0.161300	0.076200
649470.5	0.211500	0.362900	0.318300	0.357600	0.210900	0.190300	0.158900	0.070900
654428.2	0.210000	0.388300	0.334100	0.374200	0.218600	0.192400	0.162900	0.072800
659386.0	0.208000	0.401000	0.345300	0.378400	0.212900	0.201000	0.164200	0.080600
664343.8	0.199100	0.405500	0.343400	0.381100	0.212900	0.209600	0.159700	0.090600
669301.6	0.205300	0.440000	0.375300	0.400000	0.215500	0.205900	0.163100	0.079200
674259.4	0.204700	0.455500	0.388400	0.410500	0.219300	0.211700	0.166100	0.076700
679217.2	0.207800	0.470300	0.408100	0.415000	0.214300	0.203200	0.160000	0.075400
684175.0	0.208600	0.482800	0.416400	0.423400	0.227200	0.207900	0.157800	0.081700
689132.8	0.214400	0.515000	0.443200	0.445200	0.239700	0.198900	0.161500	0.069300
694090.6	0.214100	0.519200	0.446500	0.447700	0.234100	0.202300	0.159300	0.073400
699048.3	0.206700	0.510800	0.434100	0.443500	0.230400	0.212000	0.157800	0.084300
704006.1	0.223700	0.557300	0.474500	0.477600	0.246300	0.192100	0.161900	0.061200
708963.9	0.210300	0.527100	0.444300	0.460500	0.231400	0.213900	0.164800	0.079000
713921.7	0.213400	0.539400	0.453100	0.471100	0.236800	0.216600	0.165200	0.077800
718879.5	0.216200	0.540900	0.453900	0.473600	0.236700	0.207600	0.158800	0.080000
723837.3	0.212400	0.544700	0.453100	0.478800	0.241900	0.218600	0.162000	0.086300
728795.1	0.215200	0.572100	0.461900	0.506200	0.265800	0.231200	0.171700	0.085300
733752.9	0.218800	0.566500	0.470800	0.496100	0.251500	0.216700	0.164500	0.078200
738710.7	0.219600	0.575600	0.480500	0.499300	0.253500	0.217800	0.166800	0.080500
743668.4	0.218800	0.568300	0.477400	0.499000	0.252800	0.217300	0.159600	0.087100
748626.2	0.223800	0.586400	0.493700	0.511000	0.261700	0.210800	0.160700	0.079700
753584.0	0.216900	0.573900	0.482800	0.505700	0.256700	0.221000	0.160300	0.085200
758541.8	0.222500	0.590800	0.494000	0.519800	0.261200	0.219000	0.166200	0.080500
763499.6	0.220900	0.588100	0.493100	0.518600	0.263600	0.223100	0.168300	0.082900
768457.4	0.220400	0.592200	0.499100	0.524800	0.267100	0.227600	0.167700	0.084300
773415.2	0.224700	0.601300	0.514200	0.530600	0.264100	0.222100	0.166300	0.079800
778373.0	0.227500	0.600900	0.515700	0.539800	0.270300	0.213400	0.161900	0.084000
783330.8	0.240100	0.639600	0.556500	0.568700	0.276700	0.198700	0.165200	0.066600
788288.6	0.224600	0.605400	0.523300	0.551100	0.264000	0.227800	0.166300	0.085100
793246.3	0.225400	0.605800	0.526500	0.551100	0.261600	0.229900	0.168700	0.082600
798204.1	0.229800	0.616100	0.531400	0.562100	0.266900	0.220000	0.162800	0.084700
803161.9	0.227300	0.616200	0.526400	0.568100	0.268800	0.222800	0.163900	0.080700
808119.7	0.232000	0.619800	0.537200	0.569000	0.261700	0.217300	0.162400	0.079200
813077.5	0.231100	0.615900	0.527900	0.567800	0.260100	0.221900	0.164300	0.076600
818035.3	0.228600	0.611600	0.524700	0.565700	0.257500	0.232200	0.167800	0.084100
822993.1	0.230400	0.609900	0.526900	0.568300	0.254300	0.228000	0.169400	0.078300
827950.9	0.226800	0.605200	0.519000	0.568900	0.262700	0.238700	0.170200	0.084100
832908.6	0.230900	0.567800	0.503700	0.529000	0.222200	0.214000	0.153400	0.083200
837866.4	0.233700	0.603800	0.519000	0.572300	0.257500	0.219700	0.162500	0.080800
842824.2	0.233400	0.590000	0.511500	0.561300	0.246100	0.226600	0.160700	0.084600
847782.0	0.234400	0.593400	0.514200	0.570500	0.252700	0.221600	0.162200	0.081300
852739.8	0.240200	0.605300	0.528300	0.580900	0.253400	0.207600	0.160600	0.067400
857697.6	0.230600	0.583900	0.511600	0.567300	0.242600	0.229900	0.165900	0.082100
862655.4	0.232600	0.586000	0.513400	0.572200	0.242800	0.227800	0.165400	0.077900
867613.2	0.231400	0.580000	0.509300	0.572400	0.245200	0.217700	0.158100	0.073400
872571.0	0.233700	0.581700	0.514400	0.569900	0.241200	0.221300	0.160700	0.083000
877528.7	0.229400	0.571000	0.503700	0.560100	0.235400	0.218200	0.157700	0.080100
882486.5	0.227900	0.577900	0.505600	0.568700	0.240400	0.230000	0.165600	0.082700
887444.3	0.234100	0.575700	0.511400	0.563500	0.234300	0.217600	0.163000	0.077600
892402.1	0.230200	0.571500	0.510800	0.568100	0.239300	0.226400	0.164700	0.080200
897359.9	0.232200	0.570200	0.511000	0.569600	0.239900	0.224000	0.168000	0.079600
902317.7	0.232100	0.564200	0.509100	0.569200	0.247600	0.215500	0.160300	0.082300
907275.5	0.235000	0.564300	0.517700	0.574700	0.248500	0.216500	0.160800	0.078300
912233.3	0.234900	0.572300	0.521300	0.578000	0.251600	0.215100	0.162100	0.074200
917191.1	0.235800	0.564200	0.524900	0.571000	0.242900	0.212500	0.160100	0.077900
922148.8	0.232100	0.559900	0.524000	0.570700	0.239300	0.225100	0.165300	0.084700
927106.6	0.231300	0.569400	0.528100	0.584100	0.248500	0.229000	0.168100	0.083500
932064.4	0.239900	0.575700	0.541600	0.586100	0.246900	0.211100	0.161900	0.076900
937022.2	0.235500	0.558500	0.527000	0.573600	0.239000	0.215400	0.160800	0.083400
941980.0	0.234500	0.554500	0.519000	0.567100	0.237900	0.219000	0.161100	0.083500
946937.8	0.235900	0.552600	0.517600	0.559100	0.229400	0.215400	0.160000	0.085800
951895.6	0.232000	0.570800	0.518000	0.582200	0.253100	0.230900	0.171600	0.083900
956853.4	0.236500	0.560000	0.519500	0.565800	0.234400	0.224900	0.168100	0.083000
961811.2	0.236600	0.562700	0.517300	0.563400	0.234000	0.225900	0.166100	0.082600
966768.9	0.243000	0.543700	0.515700	0.534300	0.207700	0.204800	0.153800	0.078100
971726.7	0.238900	0.556300	0.504900	0.555400	0.232900	0.222500	0.162300	0.089000
976684.5	0.244600	0.570900	0.514200	0.564900	0.238100	0.216800	0.163500	0.082100
981642.3	0.242100	0.584000	0.516600	0.578500	0.251100	0.231100	0.172600	0.084000
986600.1	0.240500	0.569000	0.512900	0.558100	0.230000	0.228600	0.169800	0.085600
991557.9	0.242400	0.569400	0.513800	0.556300	0.229400	0.226700	0.167000	0.081200
996515.7	0.246500	0.577400	0.517100	0.564100	0.240800	0.218000	0.163700	0.078300
1001473.5	0.242600	0.579500	0.512800	0.564500	0.242400	0.219400	0.163300	0.080700
1006431.3	0.245500	0.582700	0.517700	0.567800	0.241500	0.216900	0.164400	0.081000
1011389.0	0.242700	0.598200	0.516100	0.589100	0.261700	0.231500	0.173200	0.084000
1016346.8	0.244600	0.577900	0.511100	0.559700	0.237900	0.225400	0.167700	0.084600
1021304.6	0.245400	0.573100	0.511500	0.562200	0.236800	0.223700	0.169200	0.081100
