VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12
376998.6	0.221400	0.249300	0.187200	0.249900	0.226800	0.183200	0.144100	0.218400	0.213700	0.136200	0.128500	0.142800
382162.9	0.221900	0.238500	0.168800	0.238500	0.229700	0.191100	0.153900	0.230600	0.215700	0.144600	0.136400	0.151400
387327.3	0.214200	0.246000	0.187500	0.247600	0.219600	0.172600	0.132100	0.201700	0.205100	0.128800	0.119200	0.134500
392491.7	0.211200	0.242200	0.185900	0.244500	0.214800	0.171000	0.136100	0.194300	0.203700	0.131400	0.123700	0.137900
397656.0	0.213200	0.246000	0.190400	0.246800	0.219400	0.171500	0.131500	0.201200	0.202500	0.128600	0.117500	0.134000
402820.4	0.209500	0.240300	0.182200	0.241300	0.217500	0.173100	0.137200	0.196200	0.199600	0.131300	0.121000	0.136500
407984.7	0.210600	0.242900	0.187900	0.244900	0.216500	0.173200	0.136700	0.194400	0.197700	0.130500	0.120500	0.134700
413149.1	0.209200	0.240300	0.183800	0.242400	0.215200	0.170300	0.133800	0.192200	0.196500	0.130400	0.119100	0.134900
418313.5	0.204000	0.245800	0.203800	0.250000	0.208500	0.159200	0.122600	0.176200	0.188900	0.121900	0.110800	0.124700
423477.8	0.208300	0.241100	0.186400	0.243500	0.217600	0.171400	0.134200	0.195100	0.195800	0.128200	0.118600	0.133800
428642.2	0.210700	0.235800	0.177000	0.236300	0.220100	0.175100	0.138400	0.201900	0.196100	0.131800	0.120200	0.135600
433806.6	0.206400	0.235600	0.178800	0.238000	0.215100	0.171100	0.139600	0.188900	0.194300	0.131800	0.121100	0.135200
438970.9	0.199000	0.244400	0.210200	0.249700	0.206300	0.155600	0.122800	0.172200	0.184000	0.119900	0.108900	0.123500
444135.3	0.205500	0.236400	0.181600	0.239500	0.216200	0.169900	0.134800	0.189500	0.193300	0.130400	0.118500	0.134100
449299.6	0.197100	0.238500	0.196800	0.242100	0.205800	0.156300	0.124200	0.169200	0.184700	0.122300	0.112000	0.126300
454464.0	0.209100	0.236500	0.179000	0.239200	0.222100	0.173400	0.134900	0.201700	0.193800	0.129100	0.118500	0.134600
459628.4	0.210400	0.233000	0.171400	0.234000	0.223500	0.176500	0.138600	0.208800	0.194100	0.132900	0.120000	0.135000
464792.7	0.208800	0.232600	0.177100	0.236300	0.220700	0.172500	0.133400	0.200500	0.192100	0.130100	0.117200	0.133700
469957.1	0.212200	0.235200	0.171200	0.237100	0.229100	0.177700	0.134800	0.219300	0.196800	0.132700	0.118400	0.136400
475121.5	0.194700	0.238100	0.201000	0.242800	0.202300	0.152900	0.121500	0.166100	0.179900	0.120300	0.107600	0.122700
480285.8	0.199100	0.235000	0.192100	0.239300	0.208000	0.158300	0.125000	0.175300	0.183500	0.124200	0.110700	0.125800
485450.2	0.204500	0.230600	0.173700	0.231300	0.218200	0.171600	0.135100	0.197500	0.191300	0.130000	0.116700	0.133800
490614.5	0.202600	0.233400	0.186900	0.236900	0.214200	0.164400	0.127600	0.186700	0.185500	0.124400	0.111400	0.127800
495778.9	0.198100	0.233400	0.189300	0.235800	0.207000	0.158600	0.126200	0.175200	0.182700	0.124200	0.110700	0.127000
500943.3	0.202900	0.226300	0.172900	0.228500	0.215900	0.171300	0.136500	0.192300	0.189400	0.131500	0.118400	0.134300
506107.6	0.201100	0.227400	0.178000	0.231900	0.211200	0.166000	0.133500	0.185700	0.185200	0.127700	0.115500	0.130200
511272.0	0.206200	0.226500	0.167700	0.229000	0.221700	0.175000	0.135800	0.206300	0.191200	0.133000	0.118900	0.136400
516436.4	0.197100	0.233100	0.191300	0.237700	0.207700	0.155400	0.120500	0.173100	0.179200	0.121000	0.106800	0.122300
521600.7	0.197000	0.233300	0.191500	0.238000	0.211400	0.160700	0.129500	0.187800	0.180900	0.126900	0.114300	0.128600
526765.1	0.198900	0.226100	0.179400	0.230700	0.208700	0.163000	0.132500	0.181700	0.183500	0.128700	0.114800	0.129700
531929.4	0.201900	0.225800	0.171700	0.228900	0.219100	0.168000	0.132400	0.198800	0.188000	0.130200	0.115700	0.131300
537093.8	0.200300	0.231600	0.186700	0.236000	0.211500	0.161200	0.122300	0.183100	0.182700	0.121600	0.107100	0.124000
542258.2	0.199100	0.222300	0.173800	0.226400	0.212600	0.164800	0.129700	0.187100	0.184300	0.126900	0.111700	0.127300
547422.5	0.192600	0.230200	0.199300	0.236200	0.202700	0.149000	0.113800	0.166700	0.175200	0.116000	0.102100	0.118100
552586.9	0.196400	0.224500	0.178600	0.227100	0.208100	0.158300	0.123200	0.178300	0.180900	0.123400	0.107700	0.124900
557751.3	0.199700	0.224500	0.178200	0.227700	0.210800	0.163000	0.127200	0.187800	0.182200	0.125900	0.112200	0.127000
562915.6	0.194600	0.222700	0.180200	0.225900	0.205300	0.157900	0.125400	0.175200	0.178600	0.124200	0.110300	0.123800
568080.0	0.198800	0.221300	0.175600	0.224200	0.212000	0.163300	0.128400	0.187100	0.182800	0.127500	0.112600	0.128900
573244.3	0.194600	0.219300	0.173500	0.223300	0.209100	0.159700	0.127900	0.181700	0.182200	0.126500	0.112700	0.127900
578408.7	0.196600	0.223000	0.180700	0.227100	0.211800	0.161400	0.124300	0.191300	0.178600	0.123400	0.109100	0.123900
583573.1	0.193400	0.222200	0.185900	0.228500	0.206000	0.154500	0.120900	0.174200	0.175900	0.119400	0.106600	0.122300
588737.4	0.197800	0.220200	0.173100	0.223000	0.211500	0.163100	0.127200	0.191000	0.180500	0.123900	0.110000	0.125700
593901.8	0.199200	0.212400	0.158500	0.215600	0.214900	0.169500	0.133500	0.199600	0.183700	0.128800	0.114900	0.128800
599066.2	0.203100	0.213600	0.155500	0.214700	0.220900	0.174700	0.137200	0.214200	0.186900	0.131400	0.117400	0.131100
604230.5	0.194000	0.215000	0.170100	0.220500	0.208200	0.160100	0.126900	0.181500	0.178000	0.123200	0.110000	0.125300
609394.9	0.193700	0.217000	0.179700	0.223600	0.204900	0.156900	0.121700	0.177500	0.175900	0.119800	0.105900	0.119800
614559.2	0.196200	0.213400	0.168000	0.217900	0.210200	0.161600	0.126500	0.188500	0.180100	0.124100	0.110300	0.125900
619723.6	0.196000	0.219800	0.180800	0.224600	0.210200	0.160000	0.122700	0.190600	0.177600	0.120900	0.107200	0.124900
624888.0	0.192200	0.211500	0.169500	0.216200	0.205000	0.160000	0.128500	0.180400	0.177800	0.124500	0.109600	0.125400
630052.3	0.200900	0.211500	0.154100	0.214100	0.221400	0.172300	0.130100	0.213800	0.185000	0.127700	0.113500	0.127700
635216.7	0.196300	0.211900	0.169300	0.217500	0.210900	0.163600	0.127100	0.194100	0.178000	0.121800	0.109000	0.123100
640381.1	0.189500	0.213500	0.174300	0.218700	0.204100	0.155300	0.122100	0.177000	0.174100	0.118400	0.107100	0.120400
645545.4	0.194400	0.210300	0.166100	0.214400	0.210700	0.163500	0.131600	0.193200	0.178900	0.125200	0.112900	0.127000
650709.8	0.200400	0.209800	0.159100	0.210400	0.218100	0.172900	0.136700	0.212300	0.184400	0.130000	0.116600	0.130400
655874.1	0.195100	0.205200	0.161600	0.209400	0.208900	0.165000	0.131300	0.190800	0.179600	0.127500	0.112600	0.126400
661038.5	0.190200	0.205000	0.164900	0.209300	0.203300	0.157700	0.124900	0.178200	0.176800	0.123000	0.108700	0.122800
666202.9	0.192600	0.208100	0.169700	0.213100	0.207900	0.159800	0.122800	0.188400	0.175700	0.120000	0.106400	0.122300
671367.2	0.187800	0.211000	0.176900	0.215600	0.201800	0.153800	0.117900	0.174800	0.173300	0.115600	0.103200	0.118700
676531.6	0.191000	0.204400	0.161300	0.208400	0.206000	0.161800	0.128700	0.186100	0.176000	0.123500	0.110400	0.124600
681696.0	0.188300	0.210400	0.181200	0.216200	0.200900	0.152900	0.116300	0.174800	0.169900	0.113500	0.102100	0.114400
686860.3	0.183000	0.208500	0.182300	0.214300	0.194500	0.146700	0.117000	0.160800	0.168400	0.115400	0.103200	0.116000
692024.7	0.194600	0.201900	0.154400	0.204600	0.211500	0.167300	0.132000	0.198800	0.178200	0.126700	0.113800	0.126600
697189.0	0.191700	0.204200	0.161800	0.208600	0.208200	0.162000	0.128100	0.190000	0.177100	0.123700	0.111900	0.125500
702353.4	0.184400	0.208200	0.180200	0.213800	0.197600	0.150100	0.117600	0.168100	0.168300	0.115200	0.104100	0.117300
707517.8	0.189300	0.206200	0.171600	0.210000	0.202800	0.156300	0.120600	0.178500	0.172600	0.116600	0.105500	0.118700
712682.1	0.181200	0.211600	0.192900	0.218500	0.195600	0.146400	0.116600	0.166300	0.165500	0.113100	0.102900	0.115300
717846.5	0.177300	0.215300	0.212800	0.226800	0.189100	0.137200	0.105100	0.153400	0.159300	0.105700	0.094000	0.105900
723010.9	0.180100	0.207300	0.190300	0.214600	0.192200	0.142600	0.109600	0.161400	0.162100	0.108200	0.097000	0.109700
728175.2	0.184300	0.207900	0.182300	0.214200	0.198600	0.149800	0.116200	0.170200	0.166500	0.113300	0.101600	0.113800
733339.6	0.175000	0.209600	0.204600	0.217600	0.185000	0.137500	0.109400	0.148700	0.159500	0.107700	0.096800	0.109600
738503.9	0.185600	0.198300	0.162100	0.201500	0.200400	0.156400	0.122200	0.177800	0.171100	0.118400	0.106000	0.119800
743668.3	0.183000	0.201300	0.172700	0.207000	0.196900	0.151000	0.119000	0.170800	0.166800	0.114200	0.103900	0.115600
748832.7	0.188900	0.196100	0.154000	0.199200	0.205900	0.166000	0.140100	0.194400	0.173900	0.128500	0.117500	0.128400
753997.0	0.185000	0.196300	0.158700	0.201700	0.200500	0.156400	0.125500	0.176700	0.171000	0.119200	0.108300	0.118300
759161.4	0.184900	0.204000	0.174900	0.208800	0.200200	0.151600	0.118900	0.176200	0.168100	0.115600	0.104100	0.115500
764325.8	0.186600	0.196300	0.157700	0.199700	0.204000	0.159800	0.127000	0.184400	0.172900	0.121900	0.109000	0.121300
769490.1	0.185800	0.200600	0.172200	0.206400	0.198700	0.152200	0.119000	0.174200	0.167000	0.115600	0.103300	0.115900
774654.5	0.182900	0.200800	0.172800	0.205400	0.197000	0.150000	0.115700	0.171400	0.165000	0.111400	0.101100	0.113400
779818.8	0.183700	0.198200	0.164900	0.202400	0.199200	0.152700	0.117900	0.175100	0.167400	0.113500	0.102700	0.113800
