VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
305730.3	0.198300	0.138400	0.161000	0.228800	0.158900	0.202900	0.202700	0.109900	0.175900	0.193300	0.190700	0.110400	0.183000	0.164900	0.171800	0.154700	0.094400
310825.8	0.202900	0.142700	0.162500	0.224700	0.159400	0.198500	0.193400	0.122400	0.172000	0.190500	0.187600	0.117600	0.180200	0.164100	0.172600	0.155700	0.097400
315921.3	0.199200	0.137900	0.161800	0.230700	0.160800	0.203400	0.203900	0.107400	0.176500	0.193600	0.191900	0.108000	0.184000	0.164800	0.172700	0.154000	0.091100
321016.8	0.205100	0.143500	0.162100	0.226700	0.156500	0.200200	0.192900	0.119200	0.172700	0.190300	0.189200	0.116100	0.181500	0.165500	0.174200	0.154800	0.097400
326112.3	0.205100	0.139600	0.160700	0.227500	0.159100	0.200700	0.199100	0.111500	0.174700	0.191800	0.190100	0.111600	0.181000	0.165200	0.173700	0.154600	0.096800
331207.8	0.212600	0.144900	0.160700	0.224700	0.153800	0.199200	0.192100	0.120900	0.172300	0.189100	0.187800	0.118700	0.179900	0.164000	0.174300	0.154700	0.098000
336303.3	0.209300	0.142100	0.160400	0.225100	0.159100	0.195500	0.196300	0.118500	0.171800	0.190100	0.188400	0.115800	0.177700	0.162900	0.173000	0.153800	0.098200
341398.8	0.210200	0.140400	0.160500	0.226200	0.160600	0.200600	0.202000	0.114700	0.173900	0.191600	0.190300	0.113700	0.181700	0.164000	0.172700	0.154200	0.095700
346494.3	0.212800	0.144900	0.158200	0.218900	0.149800	0.196200	0.187300	0.116500	0.170600	0.189400	0.187200	0.117600	0.176600	0.163800	0.173400	0.155300	0.099700
351589.8	0.210000	0.142200	0.161100	0.224700	0.161200	0.198300	0.196100	0.117600	0.171500	0.191600	0.188500	0.115600	0.178300	0.162700	0.172800	0.154200	0.098200
356685.3	0.204700	0.138500	0.160800	0.229600	0.163600	0.205600	0.207200	0.107500	0.176700	0.195700	0.193400	0.109900	0.188000	0.164700	0.173100	0.154900	0.091700
361780.8	0.210200	0.141100	0.160900	0.219900	0.157300	0.197500	0.194100	0.115400	0.170500	0.190300	0.187800	0.114400	0.179600	0.162400	0.172400	0.153500	0.095200
366876.3	0.209500	0.140500	0.160700	0.226600	0.159000	0.202100	0.201500	0.112900	0.174600	0.193100	0.191300	0.111800	0.183500	0.164000	0.172600	0.153900	0.095100
371971.9	0.215300	0.144000	0.162100	0.224100	0.156900	0.198700	0.194000	0.118200	0.171700	0.191300	0.189100	0.117000	0.180200	0.164700	0.174300	0.155200	0.096900
377067.4	0.210300	0.139900	0.162600	0.226300	0.163400	0.202900	0.205000	0.108900	0.175600	0.195600	0.192700	0.110100	0.183000	0.166000	0.173500	0.154600	0.091300
382162.9	0.214600	0.142800	0.161500	0.222700	0.157100	0.197800	0.194500	0.117900	0.171600	0.191000	0.188400	0.116900	0.178300	0.164300	0.173600	0.154400	0.097300
387258.4	0.209000	0.138400	0.164300	0.229400	0.166300	0.206600	0.209800	0.109200	0.176900	0.195800	0.193600	0.111200	0.187800	0.166100	0.173900	0.155300	0.091900
392353.9	0.209400	0.140000	0.164400	0.228900	0.166900	0.206700	0.210100	0.108900	0.176500	0.196000	0.194700	0.111000	0.187100	0.165800	0.173700	0.155900	0.092800
397449.4	0.212300	0.142300	0.163600	0.229600	0.164500	0.204100	0.203100	0.112800	0.174600	0.195300	0.192800	0.114000	0.184400	0.165800	0.174800	0.155000	0.096400
