VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)	ROI(1-20)	ROI(1-21)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
185917.2	0.321100	0.428100	0.331500	0.357900	0.343500	0.325600	0.372500	0.354600	0.250700	0.182900	0.369800	0.320300	0.318800	0.193400	0.282200	0.340700	0.096600	0.189600	0.378600	0.276400	0.360000
191081.6	0.312800	0.422200	0.320200	0.358800	0.345600	0.325100	0.368800	0.334600	0.280600	0.205300	0.366900	0.321900	0.327500	0.211000	0.281300	0.330200	0.102200	0.206000	0.364600	0.258800	0.358100
196245.9	0.322800	0.435000	0.323900	0.358100	0.349100	0.331700	0.374100	0.339700	0.265600	0.195800	0.378700	0.325500	0.327000	0.199900	0.283700	0.338700	0.099300	0.199700	0.375800	0.263100	0.363200
201410.3	0.323000	0.435900	0.316800	0.373800	0.363100	0.334800	0.377500	0.327800	0.297700	0.225000	0.373600	0.332000	0.340500	0.232000	0.284700	0.327100	0.106200	0.226000	0.359100	0.245200	0.362800
206574.7	0.305400	0.410000	0.284500	0.350900	0.331500	0.317900	0.356700	0.305900	0.256300	0.197000	0.353500	0.317800	0.317100	0.203600	0.272800	0.315800	0.100000	0.203200	0.337000	0.236200	0.344100
211739.0	0.306100	0.412300	0.276800	0.356000	0.336100	0.308300	0.355300	0.298100	0.251900	0.198500	0.339900	0.319400	0.325800	0.208000	0.273700	0.315200	0.101200	0.201800	0.319200	0.224800	0.341100
216903.4	0.306500	0.416700	0.274700	0.354600	0.338200	0.287900	0.354600	0.295100	0.234600	0.193600	0.321500	0.322800	0.327500	0.205600	0.274200	0.322400	0.098900	0.189100	0.319600	0.223900	0.345100
222067.7	0.299000	0.412100	0.266500	0.353800	0.317300	0.272500	0.350600	0.293100	0.221300	0.183800	0.305500	0.324100	0.317000	0.196900	0.270600	0.328300	0.095300	0.166900	0.327800	0.226000	0.344800
227232.1	0.279100	0.401000	0.264300	0.360000	0.294500	0.268300	0.351500	0.287800	0.224500	0.189000	0.304100	0.323600	0.309900	0.198700	0.265400	0.328100	0.096100	0.164500	0.327400	0.222800	0.350200
232396.5	0.269600	0.389600	0.261000	0.367500	0.285500	0.268200	0.350600	0.278900	0.233800	0.204300	0.296400	0.303200	0.291700	0.207600	0.268700	0.321100	0.099200	0.169100	0.317800	0.214300	0.350700
