VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)
GraphNo	1	2	3	4	5	6	7	8
593901.8	0.193800	0.242300	0.161000	0.277100	0.191400	0.202700	0.264000	0.123500
599066.1	0.185200	0.236300	0.155000	0.273400	0.186200	0.198300	0.258100	0.123200
604230.5	0.190000	0.239000	0.158700	0.275600	0.189500	0.199300	0.261600	0.119100
609394.8	0.187700	0.237100	0.156500	0.270000	0.186000	0.197300	0.262400	0.121700
614559.2	0.178700	0.230000	0.153000	0.271500	0.185300	0.195700	0.251700	0.118200
619723.6	0.195000	0.238600	0.161300	0.268800	0.188300	0.196200	0.271300	0.129200
624887.9	0.185900	0.235100	0.155200	0.272400	0.187900	0.197800	0.259300	0.118700
630052.3	0.182900	0.231200	0.155500	0.267500	0.184800	0.194000	0.258900	0.119900
635216.7	0.196900	0.240300	0.161600	0.269600	0.189700	0.197800	0.273900	0.122400
640381.0	0.186300	0.231900	0.157300	0.266700	0.185000	0.195000	0.264200	0.121100
645545.4	0.197000	0.238600	0.161800	0.265700	0.188400	0.195400	0.275000	0.122400
650709.7	0.182900	0.230600	0.153300	0.269600	0.186100	0.196600	0.259200	0.118600
655874.1	0.194000	0.236400	0.159500	0.267400	0.188900	0.196500	0.272000	0.118900
661038.5	0.184500	0.229700	0.154100	0.267300	0.185300	0.195200	0.261700	0.117700
666202.8	0.187900	0.231100	0.157400	0.259800	0.184500	0.190900	0.266600	0.122800
671367.2	0.195400	0.235000	0.159800	0.262700	0.187100	0.193500	0.276900	0.124300
676531.5	0.188300	0.230400	0.157100	0.263700	0.185200	0.193200	0.268700	0.120100
681695.9	0.185800	0.228800	0.155100	0.262400	0.184900	0.193900	0.265200	0.118400
686860.3	0.180300	0.224100	0.153000	0.262700	0.184000	0.192900	0.260200	0.118800
692024.6	0.182000	0.226200	0.152400	0.264800	0.184700	0.194000	0.261000	0.110800
697189.0	0.182600	0.225600	0.153700	0.263200	0.184100	0.191200	0.263000	0.114000
702353.4	0.179400	0.223200	0.151200	0.262800	0.184900	0.192200	0.260400	0.115600
707517.7	0.185500	0.226700	0.154900	0.264000	0.185400	0.192600	0.266100	0.113600
712682.1	0.186900	0.226300	0.155900	0.259800	0.185300	0.191900	0.268600	0.115800
717846.4	0.191900	0.229000	0.158300	0.258300	0.185400	0.190300	0.275600	0.119500
723010.8	0.188900	0.226300	0.157200	0.259500	0.185200	0.192800	0.273000	0.119900
728175.2	0.195500	0.229800	0.160600	0.255600	0.185400	0.189900	0.279200	0.122100
733339.5	0.196700	0.229100	0.159700	0.256100	0.185900	0.189200	0.280700	0.124200
738503.9	0.189800	0.226800	0.156000	0.258600	0.186200	0.192000	0.273000	0.114400
743668.3	0.186600	0.223200	0.154000	0.255100	0.183500	0.190100	0.269400	0.114400
748832.6	0.191100	0.225900	0.157500	0.253800	0.183700	0.188100	0.275200	0.114400
753997.0	0.185700	0.222400	0.154200	0.256300	0.183300	0.189700	0.270100	0.117600
759161.3	0.188700	0.223300	0.155700	0.252100	0.183200	0.189700	0.274300	0.118000
764325.7	0.185100	0.222300	0.153400	0.255900	0.184700	0.192400	0.268500	0.110700
769490.1	0.188600	0.222800	0.155300	0.253400	0.183400	0.190700	0.274000	0.113800
774654.4	0.189500	0.223700	0.153800	0.258500	0.185600	0.192800	0.273800	0.111700
779818.8	0.192700	0.224900	0.158200	0.252300	0.185500	0.190500	0.278400	0.116000
784983.1	0.187600	0.222200	0.155000	0.252400	0.183500	0.189200	0.274800	0.115100
790147.5	0.195700	0.225700	0.159600	0.252200	0.185900	0.188700	0.283300	0.116000
795311.9	0.191300	0.222600	0.157900	0.249900	0.184400	0.187800	0.278300	0.114900
800476.2	0.185600	0.219800	0.153800	0.251800	0.183000	0.189300	0.272100	0.111300
805640.6	0.191000	0.220500	0.156500	0.247600	0.182900	0.186700	0.279700	0.116600
810805.0	0.193200	0.222500	0.157500	0.248100	0.183600	0.186600	0.281800	0.114000
815969.3	0.182800	0.216500	0.152200	0.253000	0.183600	0.189700	0.268900	0.109000
821133.7	0.190300	0.220700	0.155600	0.250800	0.184500	0.187500	0.278000	0.115400
826298.0	0.186000	0.215500	0.153100	0.244900	0.180200	0.184400	0.274400	0.120200
831462.4	0.184700	0.217200	0.152700	0.252200	0.184900	0.190500	0.271500	0.107800
836626.8	0.188000	0.218700	0.153700	0.246100	0.183000	0.186800	0.277800	0.113400
841791.1	0.181500	0.214100	0.150300	0.247200	0.182100	0.188000	0.269000	0.106700
846955.5	0.185400	0.215700	0.153900	0.250700	0.183900	0.189400	0.274000	0.107900
852119.8	0.189900	0.217600	0.156700	0.245100	0.181800	0.185500	0.280300	0.112600
857284.2	0.188400	0.216200	0.155400	0.246300	0.182800	0.186300	0.278100	0.113700
862448.6	0.187900	0.215300	0.154300	0.244600	0.183300	0.188300	0.277100	0.111800
867612.9	0.181000	0.212500	0.149800	0.253200	0.184500	0.192500	0.268100	0.105000
872777.3	0.184800	0.213800	0.153100	0.243400	0.180800	0.185000	0.275000	0.107800
877941.6	0.178800	0.210200	0.147700	0.249500	0.181100	0.190000	0.267600	0.104500
883106.0	0.187300	0.213200	0.154000	0.245300	0.182600	0.187700	0.278800	0.110700
888270.4	0.181300	0.211000	0.151200	0.249300	0.183500	0.188900	0.271100	0.106700
893434.7	0.181800	0.210000	0.151400	0.245100	0.181600	0.186000	0.272800	0.109100
898599.1	0.186400	0.213100	0.153400	0.244300	0.182700	0.187100	0.278300	0.107500
