VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)
GraphNo	1	2	3	4	5	6	7	8	9
495778.9	0.191000	0.225200	0.196000	0.194600	0.193300	0.214500	0.167800	0.169900	0.128900
500943.3	0.184700	0.219100	0.196200	0.193700	0.195000	0.212000	0.170400	0.177200	0.132600
506107.7	0.183700	0.218000	0.195000	0.192100	0.192600	0.211600	0.169100	0.174700	0.134600
511272.0	0.190900	0.224700	0.198100	0.192000	0.196200	0.214700	0.169200	0.172300	0.132700
516436.4	0.189200	0.222800	0.195000	0.189800	0.194800	0.212000	0.169800	0.171900	0.132800
521600.8	0.190900	0.222900	0.198700	0.188600	0.197500	0.213100	0.169900	0.170000	0.131800
526765.1	0.191400	0.222700	0.199000	0.188800	0.200400	0.211600	0.171200	0.167500	0.129100
531929.5	0.189700	0.218400	0.198900	0.186600	0.213700	0.210400	0.171100	0.170800	0.128100
537093.9	0.194800	0.222500	0.202600	0.186000	0.227400	0.213600	0.172300	0.170300	0.125200
542258.2	0.195700	0.221400	0.201500	0.185200	0.235300	0.213500	0.171200	0.166000	0.127200
547422.6	0.201400	0.221700	0.202000	0.183600	0.233300	0.212200	0.173200	0.166700	0.126300
552586.9	0.200700	0.216500	0.198400	0.180800	0.225000	0.208300	0.172400	0.168700	0.129100
557751.3	0.214000	0.217400	0.201700	0.182100	0.223700	0.208900	0.173600	0.168400	0.132100
562915.7	0.235200	0.220000	0.201400	0.180600	0.219100	0.210000	0.174800	0.168400	0.125800
568080.0	0.243500	0.215200	0.199800	0.179700	0.215000	0.207600	0.174500	0.167500	0.128100
573244.4	0.265800	0.219700	0.202700	0.179500	0.210600	0.210300	0.175000	0.166700	0.126800
578408.8	0.283500	0.221300	0.203400	0.179800	0.213200	0.210300	0.174800	0.162500	0.123100
583573.1	0.260800	0.217100	0.200800	0.176900	0.216800	0.206900	0.174200	0.166200	0.128300
588737.5	0.263000	0.225900	0.206700	0.179300	0.216700	0.210800	0.174900	0.165100	0.118500
593901.9	0.240700	0.215000	0.202400	0.176800	0.213200	0.206700	0.175100	0.166500	0.128800
599066.2	0.234700	0.222800	0.209400	0.176100	0.210400	0.208500	0.175300	0.164100	0.123300
604230.6	0.228700	0.215000	0.206200	0.175500	0.203600	0.204100	0.174000	0.167900	0.126700
609394.9	0.228300	0.218900	0.205100	0.175300	0.201600	0.203400	0.172800	0.165100	0.124800
614559.3	0.233700	0.229200	0.207900	0.172900	0.201800	0.206900	0.172400	0.157400	0.118300
619723.7	0.219900	0.221300	0.203800	0.174800	0.201100	0.203700	0.170700	0.162900	0.124300
624888.0	0.220400	0.224300	0.206200	0.176200	0.210700	0.205800	0.170300	0.160700	0.119900
630052.4	0.210500	0.217100	0.208500	0.176400	0.223400	0.202600	0.169000	0.162100	0.122900
635216.8	0.208100	0.216800	0.220700	0.179200	0.231300	0.203700	0.170800	0.165800	0.129400
640381.1	0.206600	0.213500	0.221100	0.177900	0.241200	0.202500	0.169100	0.167800	0.129600
645545.5	0.200900	0.212500	0.238900	0.178700	0.263800	0.202400	0.165300	0.170300	0.120100
650709.8	0.201100	0.210200	0.240500	0.180000	0.271700	0.203100	0.165100	0.178800	0.126500
655874.2	0.201200	0.211400	0.244300	0.180700	0.271800	0.203200	0.165300	0.181100	0.122300
661038.6	0.197100	0.207200	0.234500	0.182200	0.273800	0.202300	0.165400	0.183600	0.130400
666202.9	0.205900	0.213300	0.229800	0.183600	0.279300	0.206900	0.165200	0.181800	0.119800
671367.3	0.211500	0.216000	0.222600	0.188400	0.284800	0.211500	0.166900	0.182700	0.126800
676531.7	0.207700	0.219100	0.213400	0.189700	0.285900	0.211100	0.166100	0.174900	0.122200
681696.0	0.205000	0.215700	0.208200	0.191900	0.286500	0.210700	0.164800	0.175800	0.123600
686860.4	0.200000	0.210700	0.207300	0.191100	0.284600	0.209300	0.164400	0.176400	0.124800
692024.8	0.203200	0.218100	0.209300	0.195300	0.290900	0.213400	0.165300	0.177800	0.124400
697189.1	0.193300	0.209000	0.203200	0.194800	0.285100	0.211600	0.165100	0.179200	0.129800
702353.5	0.192600	0.214900	0.201000	0.196200	0.283000	0.213800	0.166200	0.175900	0.128300
707517.8	0.193000	0.217400	0.195100	0.198600	0.291200	0.215200	0.168400	0.173300	0.125400
712682.2	0.192900	0.215200	0.191400	0.198000	0.288400	0.212800	0.166700	0.170300	0.129400
717846.6	0.187900	0.209900	0.185000	0.197700	0.288800	0.210100	0.168600	0.175300	0.138400
723010.9	0.187200	0.209900	0.185400	0.200400	0.285700	0.210300	0.166900	0.175300	0.129300
728175.3	0.199600	0.217900	0.188300	0.200900	0.285800	0.214700	0.165600	0.172800	0.126100
733339.7	0.205100	0.212200	0.185300	0.200500	0.275800	0.212100	0.165500	0.173700	0.134000
