VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)	ROI(1-20)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
342087.4	0.193500	0.182700	0.152800	0.120900	0.121900	0.080000	0.205900	0.204200	0.200400	0.210400	0.279000	0.198300	0.301200	0.197400	0.198800	0.186800	0.200300	0.203600	0.176800	0.205800
347045.2	0.194700	0.185500	0.156500	0.127400	0.129000	0.086100	0.202200	0.200500	0.198500	0.205300	0.273800	0.197900	0.278100	0.193900	0.198700	0.185500	0.197100	0.200900	0.175900	0.201100
352003.0	0.193700	0.181100	0.150700	0.117600	0.118800	0.077200	0.204500	0.204800	0.199500	0.212100	0.272000	0.197800	0.295400	0.196300	0.197400	0.185400	0.199000	0.202500	0.175500	0.207200
356960.8	0.193300	0.183000	0.155600	0.125800	0.128500	0.085600	0.202000	0.202100	0.198500	0.206800	0.266300	0.196100	0.278100	0.193700	0.196100	0.183400	0.196500	0.200000	0.174000	0.204200
361918.6	0.194000	0.182100	0.153600	0.123200	0.126100	0.083300	0.202900	0.203100	0.198400	0.208200	0.263600	0.195300	0.275500	0.194300	0.195800	0.183700	0.196300	0.200100	0.173300	0.205100
366876.4	0.194600	0.183100	0.155600	0.124600	0.127300	0.084600	0.202300	0.202800	0.197600	0.206200	0.260800	0.195000	0.263700	0.192700	0.196000	0.183300	0.195800	0.199900	0.173300	0.203900
371834.2	0.194400	0.182300	0.154400	0.122900	0.126500	0.082400	0.202700	0.204900	0.199100	0.208100	0.258600	0.193900	0.263900	0.194100	0.196400	0.183600	0.196600	0.199800	0.173200	0.206700
376792.0	0.193000	0.179600	0.150600	0.116300	0.119500	0.076800	0.204300	0.206300	0.199600	0.212600	0.257500	0.193700	0.273300	0.195100	0.195100	0.183500	0.197200	0.200600	0.173400	0.211100
381749.8	0.191600	0.179200	0.150300	0.116200	0.120100	0.077600	0.201100	0.201900	0.198100	0.208000	0.255300	0.193300	0.259000	0.192700	0.194800	0.181900	0.193200	0.197500	0.171900	0.206300
386707.6	0.189900	0.177600	0.150000	0.117500	0.121700	0.078800	0.200600	0.201700	0.197100	0.207500	0.252500	0.191900	0.255800	0.191300	0.192500	0.180300	0.191400	0.197200	0.170600	0.205300
391665.3	0.191000	0.179500	0.151300	0.119800	0.125600	0.082800	0.200600	0.201000	0.196700	0.206300	0.250300	0.192400	0.250800	0.191100	0.192000	0.180000	0.190600	0.197500	0.169700	0.206200
396623.1	0.191200	0.178400	0.149900	0.115300	0.120900	0.077900	0.200700	0.202300	0.196700	0.207900	0.249400	0.191700	0.249500	0.190900	0.192500	0.180200	0.190800	0.196800	0.169800	0.206300
401580.9	0.189500	0.177000	0.149300	0.118400	0.124700	0.081500	0.198600	0.201000	0.196100	0.205500	0.245800	0.189500	0.243800	0.189400	0.191100	0.179000	0.189200	0.194800	0.168200	0.204700
406538.7	0.192500	0.179500	0.151700	0.119900	0.126300	0.082400	0.200100	0.203100	0.198000	0.207100	0.245200	0.190300	0.245800	0.191100	0.191900	0.179600	0.190300	0.195700	0.169000	0.206000
411496.5	0.193700	0.178000	0.149600	0.116800	0.123500	0.080600	0.200200	0.204300	0.197700	0.209000	0.241000	0.192000	0.244900	0.194800	0.190200	0.179500	0.189700	0.195200	0.169200	0.207100
416454.3	0.196600	0.178400	0.150500	0.117500	0.124400	0.079300	0.198600	0.204400	0.197000	0.206900	0.237800	0.192300	0.240400	0.195800	0.188900	0.178900	0.188100	0.193400	0.168900	0.205300
421412.1	0.195100	0.178200	0.148500	0.116400	0.123500	0.080200	0.196900	0.201400	0.195500	0.204900	0.232800	0.188800	0.232300	0.192800	0.185300	0.175700	0.185300	0.192200	0.165900	0.204800
426369.9	0.194800	0.179200	0.151000	0.120500	0.128400	0.084700	0.194600	0.197800	0.192000	0.199000	0.228500	0.185700	0.218300	0.188900	0.183500	0.173000	0.182000	0.189100	0.164700	0.199700
431327.7	0.193300	0.174900	0.145500	0.111700	0.119400	0.077000	0.197000	0.202100	0.193900	0.206000	0.229800	0.185400	0.230100	0.192000	0.182700	0.173900	0.184800	0.189800	0.165200	0.204900
436285.4	0.193400	0.176400	0.147400	0.112700	0.120300	0.078400	0.195800	0.199900	0.192800	0.202000	0.227700	0.184700	0.220000	0.188900	0.182500	0.172800	0.181900	0.189500	0.164500	0.201600
441243.2	0.194900	0.177800	0.147700	0.113200	0.121300	0.079700	0.195900	0.201100	0.194900	0.202300	0.225300	0.182800	0.217800	0.188100	0.181600	0.172300	0.181200	0.189500	0.163600	0.203700
446201.0	0.193200	0.177500	0.146900	0.112900	0.121200	0.079800	0.195300	0.200300	0.193700	0.203300	0.225100	0.181900	0.220700	0.188000	0.180800	0.171900	0.182300	0.188300	0.163400	0.204600
451158.8	0.191700	0.177500	0.149500	0.116200	0.125500	0.083000	0.192100	0.196700	0.190200	0.198100	0.221400	0.180500	0.208200	0.185700	0.179400	0.170200	0.180300	0.186100	0.162000	0.198200
456116.6	0.193300	0.180100	0.150700	0.119100	0.128600	0.086900	0.193100	0.198200	0.191400	0.197700	0.220700	0.180300	0.205200	0.185200	0.179900	0.170600	0.182800	0.186400	0.162300	0.200500
461074.4	0.192700	0.177300	0.146800	0.112100	0.121700	0.079000	0.195200	0.202300	0.193300	0.202100	0.222000	0.180400	0.215600	0.188300	0.179900	0.172100	0.194100	0.187700	0.162800	0.203900
466032.2	0.192700	0.178000	0.149300	0.118500	0.129000	0.086300	0.193100	0.202900	0.192500	0.198400	0.219700	0.179100	0.204600	0.186100	0.179700	0.171300	0.221800	0.189400	0.162400	0.200000
470990.0	0.192400	0.176700	0.146100	0.111100	0.120100	0.077900	0.195100	0.204900	0.193200	0.202200	0.219900	0.178800	0.210700	0.188000	0.180300	0.172100	0.213700	0.190700	0.163000	0.203900
475947.7	0.192500	0.175700	0.144800	0.108900	0.117700	0.076300	0.195900	0.206300	0.193600	0.205900	0.220600	0.178000	0.217600	0.189200	0.180400	0.172900	0.202700	0.189700	0.163300	0.207500
480905.5	0.191900	0.177800	0.148400	0.115100	0.124700	0.083100	0.193600	0.200500	0.190900	0.199200	0.217400	0.176700	0.204700	0.186800	0.179600	0.170600	0.187100	0.185500	0.162300	0.202100
485863.3	0.191800	0.176900	0.147700	0.116700	0.127000	0.084300	0.191700	0.197300	0.190800	0.198800	0.215600	0.175600	0.202300	0.186600	0.179200	0.170100	0.179900	0.183000	0.161800	0.200500
490821.1	0.191200	0.175400	0.147600	0.114300	0.123600	0.081600	0.189500	0.195900	0.186800	0.197700	0.215700	0.176200	0.195900	0.186500	0.179700	0.170100	0.176400	0.181500	0.162500	0.198700
495778.9	0.191400	0.175500	0.145700	0.112900	0.122700	0.080900	0.191100	0.196600	0.191800	0.198900	0.214500	0.173900	0.201000	0.186900	0.179200	0.169800	0.176000	0.182400	0.161700	0.201900
500736.7	0.192200	0.177100	0.149200	0.117500	0.127500	0.085500	0.189200	0.195200	0.190100	0.195700	0.213000	0.173400	0.194900	0.185600	0.178900	0.169000	0.174400	0.180600	0.161500	0.198100
505694.5	0.191100	0.174300	0.145300	0.111700	0.120400	0.079500	0.192200	0.197900	0.192000	0.200400	0.214100	0.173600	0.203100	0.187500	0.178400	0.170100	0.175800	0.182500	0.162000	0.202400
510652.3	0.190700	0.173900	0.144500	0.111500	0.120800	0.080000	0.191500	0.197700	0.191100	0.201400	0.213600	0.173100	0.205900	0.187400	0.178100	0.169400	0.176000	0.181600	0.160700	0.201300
515610.1	0.190600	0.174000	0.143400	0.111100	0.120800	0.079100	0.190900	0.198600	0.190400	0.200600	0.212300	0.172100	0.202900	0.186800	0.177600	0.168800	0.175500	0.182400	0.160700	0.202100
520567.8	0.190000	0.174600	0.144700	0.111900	0.121700	0.080200	0.191100	0.197500	0.189500	0.200100	0.212800	0.172300	0.203200	0.186300	0.177800	0.169100	0.175600	0.182900	0.161300	0.201000
525525.6	0.190900	0.175600	0.144300	0.109400	0.119200	0.077000	0.191200	0.197600	0.190900	0.200800	0.211700	0.171400	0.201700	0.186000	0.178300	0.169100	0.175000	0.182200	0.160900	0.202700
530483.4	0.191000	0.174600	0.142100	0.107400	0.116200	0.075100	0.192200	0.199600	0.192400	0.203500	0.212400	0.170400	0.208600	0.188500	0.178100	0.169700	0.175400	0.182800	0.161200	0.205800
535441.2	0.190200	0.175900	0.145400	0.112600	0.121300	0.079900	0.190200	0.195900	0.189400	0.198500	0.209700	0.170300	0.195700	0.185900	0.177400	0.167900	0.173500	0.181600	0.160000	0.199700
540399.0	0.188500	0.172900	0.141400	0.106700	0.115100	0.073900	0.190100	0.197300	0.189900	0.202100	0.210000	0.170100	0.205900	0.187400	0.177100	0.168300	0.174800	0.182300	0.160100	0.203300
545356.8	0.190400	0.176100	0.144600	0.111900	0.120900	0.079300	0.192200	0.198700	0.191400	0.201600	0.211600	0.171200	0.200900	0.188200	0.177800	0.168900	0.175400	0.184100	0.160700	0.203600
550314.6	0.190900	0.178500	0.148700	0.118300	0.128900	0.085700	0.189200	0.194800	0.189600	0.195100	0.209600	0.171100	0.188200	0.185300	0.177700	0.167900	0.173000	0.182400	0.159700	0.199000
555272.4	0.189100	0.175300	0.145400	0.111500	0.121300	0.079500	0.189700	0.196200	0.189200	0.198700	0.209300	0.170400	0.196100	0.187400	0.176800	0.168700	0.174000	0.182900	0.159500	0.201200
560230.2	0.189400	0.174600	0.143100	0.109400	0.118900	0.077200	0.192400	0.198200	0.192800	0.201900	0.211900	0.170000	0.203700	0.189000	0.178000	0.169600	0.176400	0.185600	0.160000	0.206100
565188.0	0.187700	0.172600	0.141900	0.108500	0.118500	0.076200	0.192500	0.198800	0.191300	0.203400	0.214000	0.170400	0.205900	0.189600	0.179400	0.171000	0.177200	0.185200	0.160400	0.206700
570145.7	0.187100	0.173500	0.141500	0.107500	0.117700	0.075200	0.192400	0.197200	0.191000	0.201400	0.210600	0.170000	0.204300	0.188400	0.179500	0.170600	0.175800	0.186900	0.159700	0.205200
575103.5	0.187600	0.175000	0.144200	0.111900	0.122800	0.078600	0.192000	0.195400	0.190200	0.199200	0.209700	0.171000	0.197600	0.186100	0.180500	0.171000	0.174700	0.189000	0.160100	0.202400
580061.3	0.186600	0.173900	0.143900	0.112100	0.123800	0.079000	0.193800	0.197100	0.191400	0.201100	0.211300	0.171300	0.202100	0.186400	0.181100	0.171400	0.177300	0.189100	0.159900	0.203500
585019.1	0.187600	0.173800	0.143400	0.110200	0.120500	0.075600	0.195500	0.197600	0.191100	0.202100	0.211800	0.172400	0.206300	0.188000	0.183900	0.173600	0.177400	0.190500	0.161200	0.206900
589976.9	0.187800	0.176200	0.147900	0.118100	0.129800	0.083100	0.193900	0.195500	0.189300	0.197800	0.211500	0.172900	0.198000	0.185500	0.185700	0.173400	0.175600	0.186200	0.160400	0.201500
