VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)
GraphNo	1	2	3	4	5	6	7	8	9	10
712682.3	0.167700	0.186800	0.176600	0.174800	0.082000	0.089900	0.205000	0.179900	0.112500	0.134600
717846.6	0.170100	0.183100	0.170500	0.174600	0.083600	0.091900	0.203100	0.180300	0.115600	0.137400
723011.0	0.173700	0.183600	0.169700	0.174100	0.096700	0.103200	0.201100	0.179800	0.119000	0.138800
728175.4	0.171000	0.184400	0.172500	0.174800	0.083700	0.091100	0.203800	0.180700	0.113000	0.136000
733339.7	0.170200	0.186300	0.175500	0.176500	0.083500	0.091000	0.204500	0.180800	0.114700	0.137700
738504.1	0.169100	0.182100	0.169700	0.173700	0.084400	0.092100	0.203500	0.179900	0.115800	0.137100
743668.4	0.168500	0.182300	0.169600	0.172500	0.089300	0.094900	0.202000	0.181300	0.115800	0.137900
748832.8	0.167800	0.182300	0.169700	0.173900	0.083200	0.090800	0.202700	0.180700	0.115800	0.136600
753997.2	0.166200	0.182700	0.168600	0.172500	0.090100	0.096100	0.200300	0.180700	0.117000	0.136800
759161.5	0.168500	0.184200	0.171600	0.174200	0.081000	0.088300	0.204100	0.180600	0.111900	0.134800
764325.9	0.168300	0.183400	0.168900	0.175100	0.085300	0.093400	0.202600	0.181000	0.115400	0.137400
769490.3	0.168600	0.184100	0.169400	0.174000	0.081900	0.092800	0.202700	0.180500	0.115400	0.138800
774654.6	0.168700	0.183900	0.168500	0.175200	0.090800	0.098000	0.203400	0.180900	0.118600	0.140400
779819.0	0.170700	0.188300	0.175200	0.177400	0.087700	0.096100	0.204200	0.182300	0.116400	0.139100
784983.4	0.167700	0.185300	0.170300	0.175600	0.084500	0.093500	0.202500	0.181600	0.116100	0.138900
790147.7	0.168000	0.186400	0.171800	0.177900	0.090900	0.097700	0.203900	0.182400	0.117500	0.140000
795312.1	0.167600	0.189500	0.178100	0.178400	0.088000	0.093000	0.205600	0.182400	0.114100	0.138100
800476.4	0.173300	0.187500	0.170100	0.177200	0.098100	0.102000	0.202100	0.181300	0.119400	0.142600
805640.8	0.170400	0.191400	0.173700	0.178100	0.084800	0.092000	0.203500	0.182800	0.115900	0.140800
810805.2	0.172900	0.191300	0.172200	0.176700	0.090800	0.096000	0.203600	0.182900	0.117400	0.142500
815969.5	0.168500	0.191300	0.173400	0.176000	0.086000	0.092000	0.204100	0.181800	0.114900	0.140000
821133.9	0.172300	0.186600	0.163400	0.173600	0.105800	0.107500	0.199100	0.181500	0.123500	0.145700
826298.3	0.167300	0.190100	0.169900	0.173700	0.094500	0.095100	0.201700	0.181200	0.116800	0.142100
831462.6	0.166100	0.188800	0.170100	0.175200	0.099200	0.095400	0.202500	0.181200	0.117200	0.142400
836627.0	0.166500	0.190200	0.167400	0.173000	0.104400	0.096500	0.201500	0.181700	0.117100	0.143000
841791.4	0.167800	0.188300	0.164800	0.171000	0.111300	0.099600	0.200200	0.181200	0.118900	0.144100
846955.7	0.166200	0.193200	0.168300	0.173700	0.111400	0.096200	0.201400	0.181600	0.115200	0.142800
852120.1	0.166700	0.194200	0.166500	0.172900	0.120900	0.098600	0.198900	0.181800	0.118400	0.144100
857284.4	0.165200	0.196700	0.171600	0.173000	0.116400	0.090500	0.201600	0.180900	0.114200	0.141900
862448.8	0.164200	0.200900	0.175500	0.172800	0.122900	0.091700	0.204600	0.180800	0.110800	0.139400
867613.2	0.166500	0.194800	0.166400	0.171800	0.136800	0.100100	0.199000	0.180600	0.119400	0.144700
872777.5	0.163100	0.200600	0.176000	0.172700	0.123400	0.090100	0.204000	0.180900	0.112500	0.140900
877941.9	0.167700	0.195900	0.164800	0.170100	0.146100	0.104300	0.199300	0.180000	0.121200	0.147300
883106.3	0.163700	0.199000	0.171800	0.170300	0.117900	0.090400	0.201700	0.180200	0.114200	0.139800
888270.6	0.164100	0.196100	0.167100	0.170400	0.120500	0.094400	0.199700	0.179700	0.117400	0.143700
893435.0	0.161500	0.206600	0.174800	0.171000	0.116400	0.094100	0.201900	0.181300	0.113300	0.141400
898599.3	0.163300	0.202700	0.169500	0.168700	0.118100	0.096600	0.199900	0.178500	0.115500	0.141900
903763.7	0.160400	0.209500	0.177100	0.172500	0.101500	0.089100	0.204600	0.180500	0.113000	0.139000
908928.1	0.160800	0.206500	0.173300	0.171600	0.099500	0.090900	0.203000	0.180000	0.112700	0.138500
914092.4	0.162300	0.202300	0.167300	0.169600	0.103700	0.096600	0.199800	0.179100	0.116100	0.141400
919256.8	0.161700	0.197900	0.168100	0.170700	0.107800	0.100200	0.199300	0.179400	0.117900	0.142700
924421.2	0.163100	0.197100	0.167500	0.171400	0.099200	0.097400	0.199900	0.179600	0.117300	0.142400
929585.5	0.157500	0.201500	0.174500	0.171000	0.087800	0.090500	0.203100	0.180100	0.112200	0.139700
934749.9	0.159900	0.196200	0.169000	0.168500	0.095900	0.098100	0.200900	0.178800	0.116500	0.140900
939914.3	0.160400	0.193800	0.168900	0.169600	0.088200	0.094500	0.202100	0.179100	0.116500	0.142200
945078.6	0.164600	0.191400	0.165400	0.170000	0.096200	0.101600	0.200300	0.179100	0.120100	0.143700
950243.0	0.161600	0.193800	0.171700	0.171300	0.082200	0.093200	0.202600	0.179700	0.114800	0.141000
955407.3	0.159900	0.194700	0.176800	0.172000	0.078600	0.090400	0.204600	0.179300	0.112300	0.138800
960571.7	0.158200	0.193300	0.172700	0.171000	0.079900	0.092200	0.203400	0.180000	0.114000	0.139600
965736.1	0.159800	0.194800	0.176000	0.171600	0.079700	0.093200	0.204800	0.179000	0.114200	0.139300
970900.4	0.161400	0.196800	0.179100	0.174100	0.074500	0.090900	0.206000	0.180000	0.114900	0.141000
976064.8	0.164000	0.192900	0.175700	0.175200	0.079000	0.095100	0.205800	0.180000	0.118100	0.145900
981229.2	0.164600	0.192000	0.175600	0.173600	0.086300	0.103000	0.203300	0.179300	0.120600	0.149700
986393.5	0.165800	0.192200	0.173200	0.173500	0.080300	0.097400	0.205300	0.179900	0.120500	0.150600
991557.9	0.162500	0.197400	0.181700	0.177400	0.069600	0.088600	0.207900	0.179900	0.114600	0.147200
996722.2	0.165000	0.197600	0.180700	0.178300	0.075800	0.094600	0.208400	0.180900	0.117800	0.149600
1001886.6	0.168500	0.191200	0.173600	0.175000	0.082600	0.103100	0.202800	0.178400	0.121600	0.151300
1007051.0	0.169100	0.194100	0.176000	0.177400	0.078600	0.099600	0.203900	0.180000	0.120400	0.150700
1012215.3	0.168100	0.193300	0.175700	0.176500	0.079700	0.099300	0.204100	0.180200	0.118600	0.149000
1017379.7	0.169300	0.192300	0.173200	0.177200	0.076600	0.097600	0.204400	0.180700	0.119800	0.149600
1022544.1	0.168300	0.195300	0.176700	0.178100	0.077800	0.097200	0.206300	0.181400	0.119000	0.148900
