VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)
GraphNo	1	2	3	4	5	6	7	8	9
459628.3	0.190000	0.202700	0.196200	0.209100	0.248200	0.210900	0.231900	0.167100	0.101500
464792.7	0.189700	0.205800	0.202300	0.208800	0.247700	0.211600	0.232000	0.166000	0.103400
469957.1	0.189500	0.199700	0.188900	0.206300	0.247900	0.213000	0.223500	0.168400	0.102700
475121.4	0.189100	0.198700	0.195300	0.207700	0.241400	0.211300	0.223300	0.171200	0.110800
480285.8	0.189600	0.202600	0.190000	0.208100	0.245300	0.213100	0.223200	0.170400	0.103400
485450.2	0.180200	0.199300	0.196000	0.201900	0.232600	0.203700	0.228600	0.165800	0.114400
490614.5	0.183800	0.208400	0.211000	0.210700	0.239100	0.210700	0.233500	0.172100	0.113600
495778.9	0.187800	0.202400	0.192300	0.206900	0.242400	0.212300	0.223200	0.170800	0.104800
500943.3	0.182600	0.202500	0.185400	0.201900	0.237900	0.208600	0.226800	0.164500	0.102300
506107.6	0.187800	0.203900	0.189600	0.205500	0.241800	0.212600	0.222300	0.170700	0.104400
511272.0	0.182000	0.201900	0.194600	0.206700	0.236700	0.210100	0.223500	0.173200	0.113100
516436.3	0.181000	0.202100	0.195500	0.205100	0.234800	0.208700	0.223000	0.173900	0.115200
521600.7	0.184100	0.191900	0.151800	0.187200	0.229900	0.204400	0.212100	0.157700	0.100200
526765.1	0.181500	0.209200	0.186500	0.199800	0.232600	0.207200	0.228300	0.165000	0.106800
531929.4	0.175500	0.207100	0.189900	0.198000	0.227200	0.204500	0.225600	0.167700	0.116800
537093.8	0.189500	0.208300	0.192100	0.206000	0.238300	0.215700	0.231600	0.168800	0.095000
542258.1	0.184700	0.205100	0.189400	0.202600	0.234400	0.213400	0.222300	0.173100	0.110100
547422.5	0.182600	0.204700	0.186600	0.199400	0.232400	0.210500	0.220100	0.170600	0.107400
552586.9	0.183700	0.204100	0.183900	0.199800	0.233100	0.212200	0.220400	0.171100	0.106900
557751.2	0.173700	0.203700	0.185600	0.191900	0.222800	0.202600	0.224300	0.164200	0.114000
562915.6	0.180400	0.209400	0.194400	0.198800	0.232400	0.210400	0.227300	0.167900	0.106200
568080.0	0.184700	0.206300	0.194000	0.202500	0.236800	0.213000	0.231300	0.167400	0.097000
573244.3	0.183200	0.208800	0.206700	0.206600	0.239800	0.213800	0.226300	0.175000	0.114100
578408.7	0.184000	0.205100	0.191000	0.203000	0.242000	0.213100	0.220700	0.172600	0.110400
583573.0	0.184800	0.204700	0.194300	0.204900	0.243300	0.211400	0.220700	0.172200	0.112600
588737.4	0.174000	0.206800	0.187800	0.197000	0.234500	0.202300	0.222200	0.165000	0.122300
593901.8	0.181200	0.206800	0.202700	0.210300	0.244000	0.211500	0.223500	0.173300	0.118200
599066.1	0.185600	0.207800	0.192600	0.211700	0.247000	0.212300	0.222300	0.172900	0.113600
604230.5	0.183600	0.201700	0.166500	0.203100	0.242000	0.206600	0.217300	0.162700	0.112700
609394.9	0.180200	0.212100	0.183000	0.208500	0.241200	0.207100	0.223300	0.165400	0.119000
614559.2	0.183700	0.213300	0.193500	0.216800	0.244900	0.209400	0.228400	0.166600	0.111900
619723.6	0.189600	0.214800	0.190100	0.224400	0.254100	0.215800	0.225100	0.172500	0.108800
624887.9	0.190500	0.219700	0.210400	0.232900	0.262200	0.218400	0.234400	0.177300	0.114000
630052.3	0.187000	0.212100	0.192400	0.225200	0.260700	0.213500	0.226000	0.172100	0.110900
635216.7	0.192800	0.217100	0.187700	0.225400	0.263200	0.216400	0.234500	0.165000	0.094000
640381.0	0.183900	0.215400	0.197500	0.221000	0.259000	0.208800	0.231800	0.167300	0.115600
645545.4	0.185200	0.208800	0.186600	0.220400	0.262400	0.208500	0.223000	0.169600	0.119500
650709.8	0.180500	0.214800	0.186500	0.216400	0.263700	0.205700	0.229800	0.162900	0.112300
655874.1	0.188500	0.215600	0.185200	0.221200	0.275100	0.210900	0.225000	0.168300	0.107900
661038.5	0.188000	0.215000	0.185900	0.222100	0.278400	0.210300	0.224800	0.169400	0.109700
666202.8	0.184500	0.217300	0.185300	0.219400	0.274300	0.206500	0.232600	0.164500	0.109100
671367.2	0.190800	0.226800	0.208100	0.232400	0.282900	0.214200	0.241200	0.171700	0.103700
676531.6	0.189100	0.216300	0.186100	0.223800	0.280200	0.210700	0.225600	0.172500	0.109900
681695.9	0.189000	0.216500	0.186500	0.223900	0.280900	0.209500	0.224700	0.172400	0.112400
686860.3	0.185100	0.214900	0.182100	0.217400	0.270300	0.203900	0.227500	0.163900	0.103900
692024.7	0.191900	0.220800	0.191100	0.226900	0.282900	0.211700	0.227900	0.173500	0.106600
697189.0	0.186800	0.218200	0.188300	0.223100	0.279800	0.206700	0.224000	0.172500	0.114500
702353.4	0.183200	0.226800	0.199500	0.223200	0.275100	0.205000	0.233000	0.170300	0.119900
707517.7	0.186900	0.223400	0.194400	0.226200	0.284300	0.208600	0.226800	0.173100	0.109800
712682.1	0.191600	0.224200	0.190400	0.225900	0.283800	0.210400	0.226300	0.172300	0.104500
717846.5	0.183200	0.225300	0.193900	0.219000	0.271400	0.202900	0.231100	0.167400	0.113400
723010.8	0.184800	0.229200	0.204600	0.224400	0.276100	0.205200	0.234400	0.170400	0.110100
728175.2	0.189800	0.227500	0.199500	0.226700	0.282200	0.209500	0.229200	0.174000	0.111200
733339.6	0.186800	0.230000	0.200500	0.227400	0.282200	0.207500	0.229300	0.174800	0.112600
738503.9	0.189600	0.233500	0.201800	0.228200	0.282200	0.209600	0.229300	0.174700	0.109800
743668.3	0.190100	0.236100	0.203500	0.229500	0.281600	0.211700	0.231000	0.176000	0.108700
748832.6	0.181700	0.240400	0.200700	0.222100	0.269900	0.202400	0.233400	0.169400	0.120300
753997.0	0.186300	0.246700	0.196900	0.220900	0.273700	0.205600	0.232200	0.167700	0.114700
759161.4	0.186400	0.246900	0.207200	0.227000	0.273800	0.207800	0.235700	0.172800	0.110400
764325.7	0.190200	0.249500	0.208800	0.230900	0.278600	0.211400	0.231000	0.178100	0.114500
769490.1	0.195500	0.258900	0.210400	0.232900	0.278700	0.214200	0.234900	0.179500	0.109600
774654.5	0.195600	0.260700	0.208500	0.234600	0.279600	0.214700	0.235700	0.180100	0.106900
779818.8	0.197600	0.248000	0.178900	0.222200	0.275700	0.210900	0.230800	0.166700	0.100000
784983.2	0.190800	0.262700	0.212200	0.230300	0.274200	0.209500	0.242800	0.174100	0.112900
790147.5	0.194500	0.268700	0.233100	0.243300	0.277900	0.216100	0.247600	0.183800	0.114400
795311.9	0.192100	0.252800	0.185600	0.222600	0.267900	0.207100	0.232100	0.170700	0.113500
800476.3	0.200500	0.267200	0.215800	0.238700	0.278200	0.216600	0.247600	0.177400	0.118900
805640.6	0.201400	0.263000	0.224900	0.248100	0.278400	0.218000	0.252200	0.184500	0.114100
